t_id,males_FPKM_Coeff_of_Var,females_FPKM_Coeff_of_Var
1,1.39634102662561,0.181589724578985
2,2.01885031108908,0.205642435068419
3,1.30551856310895,0.267562082325178
4,0.465520345305546,0.282130283155709
5,0.306040567965485,0.340169685524209
6,0.391041294697706,0.358608537356084
7,1.41707594238854,0.302592376705342
8,1.43612795362794,0.250753335482762
9,0.501871719891068,0.359527195103883
10,0.664868609379939,0.36488342399136
11,0.942889483418199,0.344626524337073
12,1.0593806114205,0.616328962108544
13,1.72950654258191,0.247545758110945
14,0.173551637562813,0.656110095098513
15,0.229970288067113,0.640005627818149
16,0.592503511419611,0.568396384542121
17,0.668401523488704,0.702855496469269
18,0.583889418889076,0.640090480041387
19,0.506240021572999,0.267535062116286
20,0.345405803592775,0.470675267466415
21,0.761655473025429,0.533658313375403
22,1.15545705596927,0.149096659785733
23,1.24515727941681,0.219886321816793
24,0.586085698592855,0.529308603177797
25,1.04116681936499,0.279978793629624
26,1.23398983066781,0.288972035652833
27,0.548132342427746,0.316399237809876
28,1.0103221585248,0.171549038367304
29,1.06386680748851,0.311350437987156
30,0.478432623609024,0.362273340780104
31,1.09360647058822,0.310058341217789
32,0.544190316778922,0.466021508531175
33,0.64323044795333,0.343160189387883
34,0.755166355187596,0.351805773778415
35,1.23014397290317,0.163465620453951
36,1.4499170993218,0.198760999443666
37,0.962210761257212,0.387528129272839
38,0.606224154728327,0.32100648997214
39,0.516702814958008,1.49990499841919
40,0.470160880137275,0.986940893269105
41,0.748357029333916,2.17836206244098
42,0.544814936435365,2.12756919231871
43,0.408202417172258,0.354628843465769
44,0.56691697666874,1.48845735288975
45,0.636235293145534,2.5540327203154
46,0.604680913352959,1.26853143322783
47,0.355661745038943,1.97261418046395
48,0.831669585502828,2.56835315762193
49,0.446256578166981,1.56409167958682
50,0.787186048700734,1.30541919541757
51,0.219294904314718,1.18184290337671
52,0.522669730506681,0.540656699204588
53,0.488810297264156,1.79733970026668
54,NA,NA
55,NA,NA
56,0.530243955161225,1.55491527933947
